<<<<<<< HEAD
+,6706,9508,13132,0.01,0.01,-0.17,2028
+,4766,11480,7762,0.06,-0.00,-0.33,2135
+,6104,10146,11290,0.07,0.00,-0.51,2241
+,5686,10398,9992,0.07,-0.01,-0.69,2347
+,3618,9088,14554,0.04,0.05,-0.85,2453
+,4070,8342,12854,0.03,0.05,-1.02,2560
+,-112,13482,9904,0.06,0.03,-1.21,2666
+,-1232,11750,10446,0.07,0.05,-1.41,2772
+,-1266,12094,8158,0.09,0.03,-1.57,2878
+,-2032,16836,8514,0.14,0.06,-1.62,2985
+,-6944,12964,9702,0.12,0.14,-1.72,3091
+,-8564,8858,5508,0.16,0.19,-1.90,3197
+,-4444,4716,2528,0.17,0.25,-1.97,3306
+,6376,-3322,10200,0.10,0.30,-1.93,3412
+,10698,-11902,23042,-0.04,0.45,-1.93,3518
+,-6304,-7298,32767,-0.26,0.55,-2.20,3625
+,-32767,8172,32767,-0.33,0.55,-2.58,3732
+,-32767,12314,26344,-0.17,0.44,-2.74,3839
+,-32767,8486,-6392,0.19,0.28,-2.68,3946
+,-22736,-6318,-10896,0.48,0.10,-2.49,4052
+,-8278,-12486,-4974,0.48,0.04,-2.24,4159
+,-1132,-16590,-7784,0.47,0.04,-2.08,4266
+,5372,-20040,8868,0.29,0.29,-1.95,4373
+,15630,-20966,32767,-0.07,0.60,-2.01,4480
+,-13712,-5068,32767,-0.39,0.69,-2.33,4592
+,-18764,-1660,32767,-0.47,0.60,-2.58,4699
+,-32767,3124,29412,-0.31,0.49,-2.80,4806
+,-32767,7400,-672,0.08,0.37,-2.84,4912
+,-28460,-9286,760,0.38,0.33,-2.69,5019
+,-15204,-15686,-7042,0.66,0.13,-2.52,5126
+,-7634,-20664,-8838,0.84,0.03,-2.27,5233
+,-7634,-20664,-8838,0.84,0.03,-2.27,5390
+,-7132,-11596,17502,0.44,0.17,-0.72,5496
+,-4938,-11914,13772,0.45,0.11,-0.64,5603
+,-3594,-10266,14958,0.44,0.07,-0.56,5709
+,-3096,-10002,14954,0.42,0.05,-0.48,5815
+,-274,-10202,16088,0.39,0.03,-0.42,5923
+,-3348,-8576,17650,0.36,0.03,-0.36,6030
+,6714,-15498,18642,0.33,0.01,-0.36,6136
