+,1972,-15918,4556,-0.02,-0.01,0.17,2034
+,854,-15688,3570,-0.05,-0.01,0.31,2140
+,502,-15614,3964,-0.09,-0.00,0.44,2246
+,802,-15870,4104,-0.12,0.00,0.55,2352
+,1390,-15960,4242,-0.16,-0.00,0.65,2459
+,2232,-16414,4578,-0.20,-0.01,0.74,2565
+,2578,-17356,4446,-0.23,-0.01,0.83,2671
+,2058,-17054,4152,-0.27,-0.00,0.90,2777
+,1594,-16196,3796,-0.31,0.00,0.96,2884
+,296,-15126,3654,-0.34,0.01,1.01,2990
+,-724,-15720,3838,-0.36,0.02,1.05,3096
+,2000,-15450,5196,-0.39,0.02,1.07,3203
+,-510,-16824,4758,-0.40,0.06,1.06,3395
+,2776,-15706,4056,-0.42,0.08,1.02,3502
+,424,-15742,2816,-0.42,0.12,0.97,3608
+,-872,-15332,2992,-0.41,0.15,0.91,3715
+,-1928,-14628,4754,-0.40,0.20,0.84,3822
+,-2496,-13264,5998,-0.38,0.27,0.76,3929
+,278,-11650,10774,-0.36,0.30,0.68,4036
+,1636,-12404,9368,-0.35,0.32,0.60,4142
+,2908,-12448,8034,-0.37,0.35,0.52,4249
+,-1256,-13626,5790,-0.38,0.34,0.48,4356
+,-2218,-13018,9634,-0.39,0.36,0.42,4463
+,-3248,-11390,9356,-0.40,0.35,0.36,4569
+,-1214,-12922,11158,-0.41,0.34,0.30,4683
+,1340,-11780,13620,-0.43,0.31,0.23,4790
+,-382,-11042,14900,-0.44,0.28,0.19,4897
+,848,-12038,12284,-0.45,0.26,0.14,5004
+,334,-11058,15988,-0.45,0.20,0.11,5111
+,2360,-12888,13454,-0.45,0.19,0.06,5217
+,2360,-12888,13454,-0.45,0.19,0.06,5375
+,1050,-5394,11330,-0.37,-0.03,-0.75,5481
+,244,-5118,14858,-0.37,-0.04,-0.66,5587
+,-528,-5550,15166,-0.36,-0.04,-0.59,5693
+,-338,-4598,16788,-0.35,-0.03,-0.53,5800
+,3026,-3720,16442,-0.35,-0.04,-0.48,5906
+,2676,-4364,16448,-0.34,-0.05,-0.43,6012
+,3814,-4688,16370,-0.34,-0.06,-0.38,6120
+,2754,-4730,16464,-0.34,-0.07,-0.33,6227
+,1764,-4686,16942,-0.34,-0.07,-0.27,6333
+,2034,-4542,16446,-0.35,-0.07,-0.19,6439
+,2374,-4754,15872,-0.35,-0.07,-0.17,6545
+,3212,-4926,15318,-0.36,-0.07,-0.22,6652
+,2346,-5174,14550,-0.37,-0.07,-0.26,6758
+,936,-5290,15230,-0.37,-0.07,-0.28,6864
+,4268,-7026,15420,-0.38,-0.08,-0.25,6971
+,15476,-9864,15736,-0.39,-0.10,-0.19,7077
+,-32768,-11254,22160,-0.41,-0.12,-0.10,7184
+,-32768,-8272,6580,-0.45,-0.10,0.00,7293
+,26150,-3766,-12532,-0.51,-0.07,0.09,7399
+,5258,5790,-13594,-0.53,-0.01,0.18,7506
+,-11032,15892,-20514,-0.48,0.07,0.29,7613
+,-19998,20982,-18904,-0.37,0.12,0.45,7720
+,-19852,21570,-5518,-0.18,0.09,0.60,7827
+,-8130,22186,5350,0.04,-0.01,0.70,7933
+,17216,19874,27780,0.26,-0.19,0.71,8040
+,-32768,20734,32767,0.46,-0.38,0.59,8147
+,-32768,12916,32767,0.62,-0.56,0.46,8254
+,-32768,13158,32767,0.71,-0.73,0.44,8361
+,-32768,17176,32767,0.69,-0.88,0.60,8468
+,-32768,20576,32767,0.58,-1.03,0.80,8577
+,23072,31964,32767,0.30,-1.11,1.09,8684
+,23072,31964,32767,0.30,-1.11,1.09,8841
+,-32768,32767,-3440,1.52,-1.01,0.62,8947
+,-32768,32767,10264,1.52,-0.77,0.40,9053
+,-32768,25988,7262,1.42,-0.70,0.28,9160
+,-32768,25254,-25036,1.24,-0.76,0.27,9266
+,-32768,28588,-29058,1.13,-0.90,0.34,9372
+,-32768,32767,-19830,0.90,-1.06,0.61,9479
+,-32768,32767,-32768,0.38,-1.19,1.18,9585
+,26696,32767,-32768,-0.27,-1.19,1.88,9691
+,9180,32767,-32768,-0.65,-1.08,2.35,9798
+,-15422,32767,3214,-0.74,-0.90,2.54,9906
+,-14826,29838,32767,-0.69,-0.74,2.55,10013
+,-24788,20806,32767,-0.71,-0.66,2.56,10119
+,-32767,11424,32767,-0.76,-0.58,2.49,10225
+,-25394,15268,32767,-0.82,-0.55,2.34,10332
+,-13814,14266,26280,-0.90,-0.58,2.73,10438
+,-20580,12512,19726,-1.00,-0.60,3.05,10545
+,-14318,4246,2054,-1.14,-0.61,-2.96,10652
+,-612,7626,-6128,-1.27,-0.65,-2.76,10759
+,6336,13860,-2116,-1.34,-0.74,-2.61,10866
+,388,12842,5318,-1.33,-0.84,-2.53,10973
+,6684,20442,10416,-1.36,-0.99,-2.45,11079
+,8494,26150,7046,-1.38,-1.20,-2.53,11188
+,9416,32767,398,-1.74,-1.46,-2.29,11295
+,10172,32767,-3440,1.86,-1.38,0.25,11402
+,13702,32767,-3532,1.70,-1.08,0.29,11509
+,15050,32767,-5124,1.55,-0.81,0.31,11616
+,24046,32767,-5064,1.46,-0.59,0.20,11723
+,28286,32767,-7798,1.33,-0.48,0.14,11830
+,22256,32767,-7592,1.22,-0.50,0.06,11937
+,17742,32767,-3522,1.12,-0.58,0.08,12044
+,13816,32767,-954,0.99,-0.66,0.21,12150
+,13816,32767,-954,0.99,-0.66,0.21,12308
+,-4578,-8330,13440,-0.52,0.52,0.81,12414
+,-776,-12130,7958,-0.56,0.49,0.57,12522
+,-5720,-6800,3488,-0.59,0.49,0.37,12629
+,-5266,-9192,7562,-0.60,0.50,0.18,12735
+,-7112,-6926,9580,-0.60,0.51,0.03,12841
+,-11820,-8866,9412,-0.60,0.51,-0.09,12947
+,-11296,-9754,12672,-0.61,0.53,-0.24,13054
+,-13526,-12102,13178,-0.62,0.54,-0.38,13160
+,-10354,-10884,16004,-0.63,0.54,-0.52,13266
+,-5026,-6108,18426,-0.61,0.52,-0.62,13373
+,-1550,-6124,15188,-0.61,0.51,-0.73,13479
+,-1146,-4932,13086,-0.61,0.52,-0.81,13585
+,-9400,-5018,11594,-0.62,0.60,-0.87,13694
+,-12154,-6000,8408,-0.65,0.70,-0.92,13800
+,-12786,-8306,5648,-0.67,0.76,-0.94,13906
+,-10736,-8628,5630,-0.69,0.79,-0.97,14013
+,-11226,-7896,7670,-0.71,0.80,-0.98,14120
+,-12540,-7894,9746,-0.72,0.80,-0.98,14227
+,-11132,-8988,9488,-0.72,0.78,-0.97,14334
+,-15222,-11710,10486,-0.74,0.80,-1.00,14441
+,-13410,-6882,9406,-0.77,0.81,-1.01,14548
+,-15544,-4082,11050,-0.78,0.85,-1.03,14655
+,-10330,-6360,7998,-0.77,0.83,-1.00,14761
